"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Jun 08 05:07:25 GMT 2024","Sat Jun 08 05:07:25 GMT 2024","1","Api Suite","Api Test","com.example.teamcity.api.buildtype.create.BuildTypeCreateBasicTest","com.example.teamcity.api.buildtype.create.BuildTypeCreateBasicTest","multipleBuildTypesCanBeCreatedInOneProject","multipleBuildTypesCanBeCreatedInOneProject",""
"failed","Sat Jun 08 05:07:52 GMT 2024","Sat Jun 08 05:07:52 GMT 2024","167","UI Suite","UI Test","com.example.teamcity.ui.buildtype.create.CreateBuildTypeTest","com.example.teamcity.ui.buildtype.create.CreateBuildTypeTest","buildTypeCanBeCreatedFromUrlDuringProjectCreationFlow","buildTypeCanBeCreatedFromUrlDuringProjectCreationFlow",""
"broken","Sat Jun 08 05:07:52 GMT 2024","Sat Jun 08 05:07:52 GMT 2024","73","UI Suite","UI Test","com.example.teamcity.ui.buildtype.create.CreateBuildTypeTest","com.example.teamcity.ui.buildtype.create.CreateBuildTypeTest","buildTypeCannotBeCreatedWithEmptyName","buildTypeCannotBeCreatedWithEmptyName",""
"broken","Sat Jun 08 05:07:25 GMT 2024","Sat Jun 08 05:07:25 GMT 2024","2","Api Suite","Api Test","com.example.teamcity.api.buildtype.create.BuildTypeCreateBasicTest","com.example.teamcity.api.buildtype.create.BuildTypeCreateBasicTest","beforeTest","beforeTest",""
"skipped","Sat Jun 08 05:07:25 GMT 2024","Sat Jun 08 05:07:25 GMT 2024","7","Api Suite","Api Test","com.example.teamcity.api.buildtype.create.BuildTypeCreateBasicTest","com.example.teamcity.api.buildtype.create.BuildTypeCreateBasicTest","buildTypeCanBeCreated","buildTypeCanBeCreated",""
"broken","Sat Jun 08 05:07:52 GMT 2024","Sat Jun 08 05:07:52 GMT 2024","67","UI Suite","UI Test","com.example.teamcity.ui.buildtype.create.CreateBuildTypeTest","com.example.teamcity.ui.buildtype.create.CreateBuildTypeTest","buildTypeCanBeCreatedManuallyInExistingProject","buildTypeCanBeCreatedManuallyInExistingProject",""
"passed","Sat Jun 08 05:03:53 GMT 2024","Sat Jun 08 05:04:46 GMT 2024","53303","Surefire suite","Surefire test","com.example.teamcity.ui.SetupTest","com.example.teamcity.ui.SetupTest","startUpTest","startUpTest",""
"passed","Sat Jun 08 05:06:21 GMT 2024","Sat Jun 08 05:06:54 GMT 2024","32676","Surefire suite","Surefire test","com.example.teamcity.ui.SetupTest","com.example.teamcity.ui.SetupTest","startUpTeamcityAgentTest","startUpTeamcityAgentTest",""
