"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 08 05:15:31 GMT 2024","Sat Jun 08 05:16:27 GMT 2024","56482","Surefire suite","Surefire test","com.example.teamcity.ui.SetupTest","com.example.teamcity.ui.SetupTest","startUpTest","startUpTest",""
"skipped","Sat Jun 08 05:19:02 GMT 2024","Sat Jun 08 05:19:02 GMT 2024","1","Api Suite","Api Test","com.example.teamcity.api.buildtype.create.BuildTypeCreateBasicTest","com.example.teamcity.api.buildtype.create.BuildTypeCreateBasicTest","buildTypeCanBeCreated","buildTypeCanBeCreated",""
"skipped","Sat Jun 08 05:19:02 GMT 2024","Sat Jun 08 05:19:02 GMT 2024","1","Api Suite","Api Test","com.example.teamcity.api.buildtype.create.BuildTypeCreateBasicTest","com.example.teamcity.api.buildtype.create.BuildTypeCreateBasicTest","multipleBuildTypesCanBeCreatedInOneProject","multipleBuildTypesCanBeCreatedInOneProject",""
"broken","Sat Jun 08 05:19:02 GMT 2024","Sat Jun 08 05:19:02 GMT 2024","2","Api Suite","Api Test","com.example.teamcity.api.buildtype.create.BuildTypeCreateBasicTest","com.example.teamcity.api.buildtype.create.BuildTypeCreateBasicTest","beforeTest","beforeTest",""
"passed","Sat Jun 08 05:18:02 GMT 2024","Sat Jun 08 05:18:33 GMT 2024","31004","Surefire suite","Surefire test","com.example.teamcity.ui.SetupTest","com.example.teamcity.ui.SetupTest","startUpTeamcityAgentTest","startUpTeamcityAgentTest",""
"failed","Sat Jun 08 05:19:29 GMT 2024","Sat Jun 08 05:19:30 GMT 2024","196","UI Suite","UI Test","com.example.teamcity.ui.buildtype.create.CreateBuildTypeTest","com.example.teamcity.ui.buildtype.create.CreateBuildTypeTest","buildTypeCanBeCreatedFromUrlDuringProjectCreationFlow","buildTypeCanBeCreatedFromUrlDuringProjectCreationFlow",""
"broken","Sat Jun 08 05:19:30 GMT 2024","Sat Jun 08 05:19:30 GMT 2024","71","UI Suite","UI Test","com.example.teamcity.ui.buildtype.create.CreateBuildTypeTest","com.example.teamcity.ui.buildtype.create.CreateBuildTypeTest","buildTypeCanBeCreatedManuallyInExistingProject","buildTypeCanBeCreatedManuallyInExistingProject",""
"broken","Sat Jun 08 05:19:30 GMT 2024","Sat Jun 08 05:19:30 GMT 2024","49","UI Suite","UI Test","com.example.teamcity.ui.buildtype.create.CreateBuildTypeTest","com.example.teamcity.ui.buildtype.create.CreateBuildTypeTest","buildTypeCannotBeCreatedWithEmptyName","buildTypeCannotBeCreatedWithEmptyName",""
