"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 07 16:02:33 GMT 2024","Fri Jun 07 16:02:33 GMT 2024","90","Api Suite","Api Test","com.example.teamcity.api.buildtype.create.BuildTypeCreateBasicTest","com.example.teamcity.api.buildtype.create.BuildTypeCreateBasicTest","multipleBuildTypesCanBeCreatedInOneProject","multipleBuildTypesCanBeCreatedInOneProject",""
"passed","Fri Jun 07 15:59:02 GMT 2024","Fri Jun 07 15:59:59 GMT 2024","56724","Surefire suite","Surefire test","com.example.teamcity.ui.SetupTest","com.example.teamcity.ui.SetupTest","startUpTest","startUpTest",""
"passed","Fri Jun 07 16:03:34 GMT 2024","Fri Jun 07 16:03:41 GMT 2024","6351","UI Suite","UI Test","com.example.teamcity.ui.buildtype.create.CreateBuildTypeTest","com.example.teamcity.ui.buildtype.create.CreateBuildTypeTest","buildTypeCannotBeCreatedWithEmptyName","buildTypeCannotBeCreatedWithEmptyName",""
"passed","Fri Jun 07 16:02:31 GMT 2024","Fri Jun 07 16:02:33 GMT 2024","1573","Api Suite","Api Test","com.example.teamcity.api.buildtype.create.BuildTypeCreateBasicTest","com.example.teamcity.api.buildtype.create.BuildTypeCreateBasicTest","buildTypeCanBeCreated","buildTypeCanBeCreated",""
"passed","Fri Jun 07 16:03:25 GMT 2024","Fri Jun 07 16:03:34 GMT 2024","9373","UI Suite","UI Test","com.example.teamcity.ui.buildtype.create.CreateBuildTypeTest","com.example.teamcity.ui.buildtype.create.CreateBuildTypeTest","buildTypeCanBeCreatedManuallyInExistingProject","buildTypeCanBeCreatedManuallyInExistingProject",""
"passed","Fri Jun 07 16:01:32 GMT 2024","Fri Jun 07 16:02:02 GMT 2024","30236","Surefire suite","Surefire test","com.example.teamcity.ui.SetupTest","com.example.teamcity.ui.SetupTest","startUpTeamcityAgentTest","startUpTeamcityAgentTest",""
"passed","Fri Jun 07 16:03:00 GMT 2024","Fri Jun 07 16:03:24 GMT 2024","24921","UI Suite","UI Test","com.example.teamcity.ui.buildtype.create.CreateBuildTypeTest","com.example.teamcity.ui.buildtype.create.CreateBuildTypeTest","buildTypeCanBeCreatedFromUrlDuringProjectCreationFlow","buildTypeCanBeCreatedFromUrlDuringProjectCreationFlow",""
